Statistical profiling result from isolate-0xedfe647d540-v8.log, (113727 ticks, 6288 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     20    0.0%    0.0%  LazyCompile: *send /home/john/Projects/Torn.Space/node_modules/ws/lib/websocket.js:315:7
     20    0.0%    0.0%  LazyCompile: *Player.self.testAfk /home/john/Projects/Torn.Space/app.js:1469:25
     20    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
     19    0.0%    0.0%  LazyCompile: ~updateHeatmap /home/john/Projects/Torn.Space/app.js:3630:23
     19    0.0%    0.0%  LazyCompile: ~addChunk _stream_readable.js:292:18
     18    0.0%    0.0%  LazyCompile: ~exports.encodePacket /home/john/Projects/Torn.Space/node_modules/engine.io-parser/lib/index.js:53:33
     18    0.0%    0.0%  LazyCompile: ~Player.self.testSectorChange /home/john/Projects/Torn.Space/app.js:609:34
     18    0.0%    0.0%  LazyCompile: *writeOrBuffer _stream_writable.js:365:23
     17    0.0%    0.0%  LazyCompile: *debug /home/john/Projects/Torn.Space/node_modules/socket.io/node_modules/debug/src/common.js:67:17
     17    0.0%    0.0%  LazyCompile: *debug /home/john/Projects/Torn.Space/node_modules/socket.io-parser/node_modules/debug/src/debug.js:66:17
     17    0.0%    0.0%  Builtin: StringToNumber
     15    0.0%    0.0%  LazyCompile: ~listOnTimeout internal/timers.js:484:25
     15    0.0%    0.0%  LazyCompile: *Transform._write _stream_transform.js:165:38
     14    0.0%    0.0%  LazyCompile: ~send /home/john/Projects/Torn.Space/node_modules/engine.io/lib/transports/websocket.js:97:17
     14    0.0%    0.0%  LazyCompile: ~Asteroid.self.tick /home/john/Projects/Torn.Space/app.js:1912:22
     14    0.0%    0.0%  LazyCompile: *TickObject internal/process/task_queues.js:92:14
     13    0.0%    0.0%  LazyCompile: ~afterTransform _stream_transform.js:78:24
     13    0.0%    0.0%  LazyCompile: *processCallback zlib.js:486:25
     13    0.0%    0.0%  LazyCompile: *maybeReadMore_ _stream_readable.js:581:24
     13    0.0%    0.0%  LazyCompile: *encodeAsString /home/john/Projects/Torn.Space/node_modules/socket.io-parser/index.js:147:24
     13    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:273:36
     13    0.0%    0.0%  Builtin: Add {1}
     12    0.0%    0.0%  LazyCompile: ~incRefCount internal/timers.js:283:21
     12    0.0%    0.0%  LazyCompile: *zlibLimiter.push /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:321:22
     12    0.0%    0.0%  LazyCompile: *processTimers internal/timers.js:464:25
     12    0.0%    0.0%  LazyCompile: *listOnTimeout internal/timers.js:484:25
     12    0.0%    0.0%  LazyCompile: *Player.self.testSectorChange /home/john/Projects/Torn.Space/app.js:609:34
     11    0.0%    0.0%  LazyCompile: *Socket.sendPacket /home/john/Projects/Torn.Space/node_modules/engine.io/lib/socket.js:380:40
     11    0.0%    0.0%  Builtin: ObjectPrototypeToString
     11    0.0%    0.0%  Builtin: JSEntryTrampoline
     11    0.0%    0.0%  Builtin: Divide
     10    0.0%    0.0%  LazyCompile: ~fromString buffer.js:325:20
     10    0.0%    0.0%  LazyCompile: ~_compress /home/john/Projects/Torn.Space/node_modules/ws/lib/permessage-deflate.js:402:12
     10    0.0%    0.0%  LazyCompile: ~Writable.write _stream_writable.js:273:36
     10    0.0%    0.0%  Builtin: StrictEqual
     10    0.0%    0.0%  Builtin: NonPrimitiveToPrimitive_Default
      9    0.0%    0.0%  Stub: StoreFastElementStub
      9    0.0%    0.0%  LazyCompile: ~clearBuffer _stream_writable.js:500:21
      9    0.0%    0.0%  LazyCompile: ~Vortex.self.move /home/john/Projects/Torn.Space/app.js:2219:22
      9    0.0%    0.0%  LazyCompile: *perMessageDeflate.compress /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:349:51
      9    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:119:6
      9    0.0%    0.0%  LazyCompile: *done /home/john/Projects/Torn.Space/node_modules/async-limiter/index.js:62:14
      9    0.0%    0.0%  LazyCompile: *Vortex.self.tick /home/john/Projects/Torn.Space/app.js:2211:22
      9    0.0%    0.0%  Builtin: ToString
      9    0.0%    0.0%  Builtin: JSConstructStubGeneric
      9    0.0%    0.0%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
      8    0.0%    0.0%  LazyCompile: ~write buffer.js:895:40
      8    0.0%    0.0%  LazyCompile: ~send /home/john/Projects/Torn.Space/node_modules/ws/lib/sender.js:267:7
      8    0.0%    0.0%  LazyCompile: ~percolateDown internal/priority_queue.js:44:16
      8    0.0%    0.0%  LazyCompile: ~onwrite _stream_writable.js:450:17
      8    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:698:42
